Асуулт,link,зөв хариулт,Анги,Хичээл,Буруу хариулт 1,Буруу хариулт 2,Буруу хариулт 3,TEXT
"Өндөр уулын бүсэд амьдардаг хүмүүсийн цусанд ""А"" эсийн тоо тал газрын хүмүүсийнхээс их байдаг. Үүний шалтгаан нь юу вэ? ",https://ibb.co/dsKQ13rz,Агаар дахь хүчилтөрөгчийн парциал даралт бага тул хийн зөөвөрлөлтийг нэмэгдүүлэх,12,Биологи,"Дархлааг дэмжиж, өвчнөөс сэргийлэх","Цусны бүлэгнэлтийг түргэсгэж, шархыг хурдан эдгээх","Цусны эргэлтийн хурдыг сааруулж, биеийн температурыг тогтворжуулах",
Доорх зурагт биополимер нэгдлүүдийн үүсэх болон задрах урвалыг үзүүлжээ. Урвалын явцад явагдаж буй үйл явц болон үүсэх холбоог зөв тодорхойлсон мөрийг сонгоно уу,https://ibb.co/fGQ3qZdQ,Конденсаци | Пептид холбоо | Гликозид холбоо,12,Биологи,Гидролиз | Пептид холбоо | Гликозид холбоо,Конденсаци | Устөрөгчийн холбоо | Эфирийн холбоо,Гидролиз | Эфирийн холбоо | Пептид холбоо,
Тэмээний бөхөнд их хэмжээний өөх тос хуримтлагддаг бөгөөд энэ нь зөвхөн энергийн нөөц болоод зогсохгүй бодисын солилцооны усны эх үүсвэр болдог. Хэрэв 100г өөх тос болон 100г нүүрс ус (цардуул) организмын дотор исэлдэх үед үүсэх ус болон энергийн хэмжээг харьцуулбал аль дүгнэлт нь зөв бэ?,,Өөх тос исэлдэхэд нүүрс уснаас 2 дахин их энерги болон илүү их ус үүснэ.,12,Биологи,Нүүрс ус исэлдэхэд өөх тосноос илүү их энерги болон ус үүснэ.,Өөх тос болон нүүрс ус нь ижил хэмжээний энерги ялгаруулна.,Нүүрс ус нь усанд уусдаггүй тул бодисын солилцооны ус үүсгэхгүй.,
"Сурагч ""Дархлааны төрөл ба хэлбэр"" сэдвээр хийсэн тэмдэглэлдээ нэгэн алдаа гаргажээ. Дараах өгөгдлүүдээс БУРУУ тодорхойлолтыг олно уу.",,Эхээс урагт ихэс болон сүүгээр дамжин ирэх дархлааг төрөлхийн идэвхгүй дархлаа гэнэ.,12,Биологи,Өвчилсний дараа биед санах ойн эсүүд үүсэж үлдэхийг олдмол идэвхтэй дархлаа гэнэ.,Бэлэн эсрэг бие агуулсан ийлдэс тариулахыг олдмол идэвхгүй дархлаа гэнэ.,Вакцин тариулсны дараа бие махбод өөрөө эсрэг бие үйлдвэрлэхийг олдмол идэвхтэй дархлаа гэнэ.,
Графикт нэгэн хүний цусан дахь эсрэг биеийн агууламжийг вакцин хийлгэхийн өмнө болон дараа үзүүлжээ. Вакцины хоёр дахь тун (бустер) хийлгэхэд эсрэг биеийн хэмжээ огцом ихсэж буй шалтгаан нь юу вэ?,https://ibb.co/nMzTVghd,"Эхний тунгийн дараа үүссэн санах ойн эсүүд эсрэг төрөгчийг хурдан таньж, эсрэг биеийг эрчимтэй үйлдвэрлэсэн тул.",12,Биологи,Вакцинд агуулагдах нянгууд цусанд шууд үржсэн тул.,Вакцин нь цусны улаан эсийн тоог олшруулсан тул.,Бустер тун нь цусан дахь лейкоцитын хэлбэрээ өөрчлөх чадварыг зогсоосон тул.,
"Нэгэн өвчтөн бактераар үүсгэгдсэн хоолойн үрэвслийн үед антибиотикийг 7 хоног уух заавартай авчээ. Гэвч 3 дахь хоног дээр биеийн байдал нь илт дээрдэж, зовуурьгүй болсон тул эмийг үргэлжлүүлэн уухаа больсон байна. Энэхүү үйлдэл нь ямар үр дагаварт хүргэж болохыг биологийн үүднээс тайлбарлана уу.",,"Тухайн антибиотикт тэсвэртэй мутаци бүхий цөөн тооны бактер биед үлдэж, дараагийн удаа уг эм үйлчлэхгүй болох эрсдэлтэй.",12,Биологи,"Эмчилгээ амжилттай болсон тул үлдсэн эмийг уухгүй байх нь элэг, бөөрийг хамгаална.",Хүний бие өөрөө антибиотик үйлдвэрлэж эхлэх тул гаднаас эм авах шаардлагагүй болно.,Антибиотик нь вирусийн эсрэг үйлчилгээтэй тул 3 хоног уухад хангалттай.,
Мэдрэлийн эсүүдийн хооронд мэдээлэл дамжих үед синапс (synapse) хэмээх зайгаар цахилгаан импульс шууд дамждаггүй. Энэ үед химийн бодис буюу нейротрансмиттерүүд оролцдог. Хэрэв синапс дахь мэдээлэл дамжуулалтыг зогсоодог хортой бодис биед орвол мэдрэлийн системд ямар өөрчлөлт гарах вэ?,,"Мэдээлэл дамжуулалт тасалдаж, тухайн мэдрэлийн замаар дамжих рефлекс эсвэл мэдрэхүй бүрэн зогсоно.",12,Биологи,"Мэдрэлийн импульс улам хурдсаж, булчингийн агшилт хяналтгүй болно.","Зөвхөн төв мэдрэлийн систем гэмтэж, захын мэдрэлийн систем хэвийн ажиллана.","Мэдрэлийн импульс буцаж урсаж, тархи руу худал мэдээлэл илгээнэ.",
Доорх зурагт фотосинтезийн бүтээгдэхүүн болох сахароз навчны мезофилл эсээс флоэм (шигшүүрт гуурс) руу зөөвөрлөгдөх хоёр өөр замыг харуулжээ. Зураг дээрх цэнхэр болон улаан сумаар тэмдэглэгдсэн зөөвөрлөлтийн механизмыг зөв тодорхойлсон хувилбарыг сонгоно уу,https://ibb.co/wr2yvdJ7,"Цэнхэр – Симпласт зам, Улаан – Апопласт зам",12,Биологи,"Цэнхэр – Апопласт зам, Улаан – Симпласт зам","Цэнхэр – Идэвхтэй зөөвөрлөлт, Улаан – Осмос","Цэнхэр – Хийн солилцоо, Улаан – Усны зөөвөрлөлт",
"Ургамлын транспирацийн (ууршилт) эрчимд хүрээлэн буй орчны хүчин зүйлс хэрхэн нөлөөлөхийг потметрээр хэмжжээ. Хэрэв агаарын чийгшил ихсэж, гэрлийн эрчим буурвал потметр дэх агаарын бөмбөлгийн шилжилт хөдөлгөөнд ямар өөрчлөлт орох вэ",,"Агаарын бөмбөлгийн шилжилт удааширна, учир нь ууршилт багасна.",12,Биологи,"Агаарын бөмбөлгийн шилжилт хурдасна, учир нь ууршилт нэмэгдэнэ.","Агаарын бөмбөлөг хөдөлгөөнгүй болно, учир нь фотосинтез зогсоно.",Агаарын бөмбөлөг эсрэг чиглэлд хөдөлнө.,
"Хоол боловсруулах эрхтнүүдэд явагдах химийн боловсруулалтыг доорх хүснэгтэд дутуу харуулжээ. Хүснэгтийн I, II, III хэсэгт тохирох хариултыг зөв дарааллаар байрлуулсан хувилбарыг сонгоно уу.",https://ibb.co/LdZGgfpp,"I – Пепсин, II – Өөх тос, III – Өөхний хүчил",12,Биологи,"I – Трипсин, II – Уураг, III – Амин хүчил","I – Липаза, II – Гликоген, III – Өөхний хүчил","I – Пепсин, II – Глюкоза, III – Амин хүчил",
Хэрэв хүний бөөрний E хэсэгт (Хенлийн гогцоо) гэмтэл учирч үйл ажиллагаа нь доголдолд орвол бие махбодод гарах хамгийн бодитой өөрчлөлтийг сонгоно уу.,https://ibb.co/gY47bBS,"Шээсээр ялгарах усны хэмжээ ихсэж, биеийн усны тэнцвэр алдагдана (ус эргэн шимэгдэх үйл ажиллагаа суларна).",12,Биологи,Цусан дахь глюкозын хэмжээ эрс нэмэгдэнэ,Цусны даралт огцом унана,Бөөрөнд анхдагч шээс үүсэхээ болино,
"Уг график дээрх ""Энзимтэй"" (цэнхэр шугам) болон ""Энзимгүй"" (улаан тасархай шугам) урвалуудыг харьцуулахад дараах дүгнэлтүүдийн аль нь хамгийн зөв бэ",https://ibb.co/yFsgJ7zc,"Энзим нь урвалын хамгийн дээд цэг буюу энергийн босгыг доошлуулж, урвалыг хөнгөвчилдөг. ",12,Биологи,Бодис болон бүтээгдэхүүний энергийн түвшин энзимээс хамаарч өөрчлөгдөнө,Урвал явагдах хугацаа энзимтэй үед энзимгүй үеэс илүү урт байна,Энзим нь урвал явагдахад шаардагдах идэвхжүүлэх энергийн хэмжээг ихэсгэдэг,
"Биотехнологийн салбарт ""Уламжлалт"" болон ""Орчин үеийн"" гэсэн ангиллыг ихэвчлэн хийдэг. Дараах үйл ажиллагаануудаас аль нь уламжлалт биотехнологид хамаарах вэ?",,"Сүүг тараг, бяслаг болгон исгэх үйл явц",12,Биологи,Бактерийг ашиглан хүний инсулин үйлдвэрлэх,Генетикийн өөрчлөлттэй (GMO) ургамал гарган авах,Амьтныг клоны аргаар хувилан олшруулах,
"Эрдэмтэд нэгэн бактерийг ашиглан хүний инсулин үйлдвэрлэхээр төлөвлөжээ. Энэ процесст хамгийн чухал алхам болох ""Рекомбинант ДНХ"" (Recombinant DNA) үүсгэхэд дараах үйл ажиллагааны аль нь зөв дараалал вэ?",,Инсулиныг хариуцдаг хүний генийг ялгах → плазмидыг хайчлах → генийг плазмидтай залгах → бактерид оруулах. ,12,Биологи,Бактерийн эсийг шууд химийн бодисоор үхүүлэх → инсулины гентэй холих,Бактерийн ДНХ-ийг бүхэлд нь устгах → хүний биеийн бүх хромосомыг бактерид суулгах,Бактерийн өсөлтийг зогсоох → плазмидыг устгах → инсулины уургийг өөрөө үүсгэхийг хүлээх.,
"Цагаан цэцэгтэй (рецессив, aa) вандуйг генотип нь тодорхойгүй шар цэцэгтэй вандуйтай эрлийзжүүлэхэд бүх үр төл нь шар цэцэгтэй гарчээ. Энэ тохиолдолд эцэг эхийн шар цэцэгтэй вандуйн генотип нь ямар байх ёстой вэ?",,AA (гомозигот доминант) ,12,Биологи,aa (гомозигот рецессив) ,Aa (гетерозигот) ,AA эсвэл Aa байж болно ,
"Эцэг эхийн нэг нь I бүлгийн (ii), нөгөө нь IV бүлгийн (IA IB) цусны бүлэгтэй бол тэдний хүүхдүүдийн цусны бүлэг ямар байх вэ?",,Зөвхөн II ба III бүлэг,12,Биологи,Бүх хүүхэд IV бүлэгтэй байна,Зөвхөн I ба IV бүлэг,Зөвхөн IV бүлэг,
"Тусгаарлагдсан арал дээрх шувуудын популяцид гэнэтийн байгалийн гамшиг (гал түймэр) тохиолдож, нийт шувуудын 90% нь устжээ. Үлдэгдэл 10% шувуудын генийн сан нь өмнөх популяциас эрс ялгаатай байв. Энэ үзэгдлийг биологийн ямар нэр томьёогоор нэрлэх вэ?",,Генийн шилжилт  ,12,Биологи,Байгалийн шалгарал,Генийн урсгал,Зохиомол шалгарал,
Эсийн хуваагдлын үед ДНХ нь маш нягт ороогдож хромосом үүсгэдэг. Энэхүү нягт ороогдолт яагаад чухал вэ?,,Удамшлын материалыг эсийн хуваагдлын үед гэмтээхгүйгээр хоёр шинэ эсэд тэнцүү хуваарилах боломж олгохын тулд,12,Биологи,"ДНХ-ийн молекулын хэмжээг ихэсгэж, эсэд их зай эзлүүлэх зорилготой","Уургийн нийлэгжилтийг зогсоож, эсийг амраахын тулд. ",Зөвхөн бүх эсүүд ижил өнгөтэй болохын тулд,
"Эсийн рибосом дээр уураг нийлэгжих явцад мРНХ-ийн кодон бүр өөрт тохирох зРНХ-ийн антикодонтой холбогддог. Хэрэв мРНХ-ийн кодон нь 5'-AUG-3' байвал, түүнтэй холбогдох зРНХ-ийн антикодон нь ямар дараалалтай байх вэ",,3'-UAC-5',12,Биологи,3'-ATG-5' ,3'-AUC-5',5'-ATG-3',
"Митоз хуваагдлаар хуваагдаж буй эсийн зургийг ажиглан, ямар үе шат явагдаж байгааг  илэрхийлсэн мөрийг сонгоорой",https://ibb.co/0ypsDJKj,Профаз → Телофаз,12,Биологи,Анафаз → Телофаз,Метафаз → Телофаз,Интерфаз → Профаз,
"Эсийн амьдралын мөчлөгийн интерфаз (interphase) үед эсэд идэвхтэй үйл явцууд явагддаг. Хэрэв лабораторийн шинжилгээгээр нэг эсийн бөөм дэх ДНХ-ийн хэмжээ 2 дахин ихэссэн боловч хромосомын тоо өөрчлөгдөөгүй байвал, тухайн эс эсийн мөчлөгийн аль үе шатанд байна вэ?",,S үе шат (Синтезийн үе) ,12,Биологи,G0 үе шат (Эс хуваагдахаа зогсоосон үе),G2 үе шат (Хуваагдалд бэлтгэх үе) ,Митоз үе шат (Эсийн хуваагдал),
Усны эргэлтийн зурагт конденсацын үзэгдлийг хэд дугаараар тэмдэглэсэн бэ?,https://ibb.co/rR1G4pKd,3,12,Биологи,1,2,4,
"B графикт үзүүлсэн популяцийн тоо толгой огцом өсөж, дараа нь бараг бүрэн унаж буй үзэгдлийг биологийн үүднээс юу гэж тайлбарлах вэ?",https://ibb.co/WRpK11d,"Тухайн зүйл тодорхой хугацаанд орчны нөөц бололцоог (хоол хүнс) хэт ашигласны улмаас нөөц дуусч, популяцийн огцом уналт явагдсан",12,Биологи,"Тухайн зүйл байгалийн шалгаралд бүрэн дасан зохицож, тоо толгой нь тогтворжсон","Популяцийн тоо толгой нь гадаад орчны нөөц бололцоог бүрэн ашиглаж, урт хугацаанд тогтвортой үлдсэн",Байгалийн гамшиг болон хүний нөлөө огт байгаагүй тул популяци өөрөө устах замыг сонгосон,
"Энэхүү графикийг ажиглаад, график дээрх 5-аас 10 хүртэлх хугацаанд цэнхэр шугам (идэш тэжээл бологч буюу туулай) огцом буурч, ногоон шугам (махчин буюу үнэг) бага зэрэг нэмэгдэж байгаа үзэгдлийг биологийн үүднээс хэрхэн тайлбарлах вэ?",https://ibb.co/nsT1gTm4,"Махчин амьтдын тоо толгой өсөхийн хэрээр идэш тэжээл бологчдыг барьж идэх нь нэмэгдэж, улмаар тэдний популяцийн тоо буурч байна. ",12,Биологи,"Энэ хугацаанд идэш тэжээл бологчдын төрөлт эрс багасаж, махчин амьтад өөр төрлийн хоол хүнсэнд шилжиж байна","Уур амьсгалын огцом өөрчлөлтөөс болж идэш тэжээл бологчид өөр газар луу нүүдэллэж, махчин амьтад хоолгүй болж байна.","График дээрх өөрчлөлт нь ямар ч биологийн холбоогүй, зөвхөн санамсаргүй статистик үзүүлэлт юм",
,,,,,,,,
"""нууцыг тайлах"" үгийн утгад тохирохыг сонгоно уу.",https://ibb.co/rR6Y2rFR,тухайн нууц зүйлийн учрыг олж илрүүлэх,5,Монгол хэл,нууцаар тайлбарлах ,нууц тайлагдсаныг мэдэх ,нууцаар хайж учрыг мэдэх,
"""...анааш шиг өндөр хүзүү, арслан бар шиг хүчирхэг булчингүй..."" хэсэгт уран зохиолын ямар дүрслэл байна вэ?",https://ibb.co/rR6Y2rFR,зүйрлэл,5,Монгол хэл,амьдчилал,багасгал,ихэсгэл,
"""Өргөн барив"", ""юмыг өргөж"" гэсэн өгүүлбэрүүдийн тодруулсан үгс ямар утгатай вэ?",https://ibb.co/rR6Y2rFR,салаа утгатай үг,5,Монгол хэл,далд утгатай үг,ойролцоо утгатай үг,эсрэг утгатай үг,
"""Чинбаяр шоргоолжны нууцад нэвтрэх хүсэлтэй ... туршилт хийв."" цэгийн оронд тохирох холбох үгийг сонгоно уу.",https://ibb.co/rR6Y2rFR,учраас,5,Монгол хэл,ба,Өмнө нь,үр дүнд,
Чинбаярын хийсэн үйлийн зөв дарааллыг сонгоно уу?,https://ibb.co/rR6Y2rFR,"туршсан, нээлт хийсэн, машин бүтээсэн, тэмцээнд түрүүлсэн",5,Монгол хэл,"машин бүтээсэн, туршсан, нээлт хийсэн, тэмцээнд түрүүлсэн","нээлт хийсэн, туршсан, машин бүтээсэн, тэмцээнд түрүүлсэн","туршсан, машин бүтээсэн, нээлт хийсэн, тэмцээнд түрүүлсэн",
Чинбаяр шоргоолжны хойд хэсгийг тасалж хаяад хазуулахад өвдөөгүйн шалтгаан юу вэ?,https://ibb.co/rR6Y2rFR,хойд тасархай нь урд хэсэгтээ дэм өгч хөшүүргийн үүрэгтэй байсан учраас,5,Монгол хэл,арслан бар шиг хүчирхэг булчингүй учраас,биеэр жижиг мөн урд хэсэг нь хүчтэй учраас,шоргоолж өөрөөсөө 10 дахин хүнд юм өргөдөг учраас,
Чинбаяр ямар хүслээсээ няцаагүй вэ?,https://ibb.co/rR6Y2rFR,шоргоолжны нууцад нэвтрэх хүсэл,5,Монгол хэл,шидэт эм уух хүсэл,шоргоолжинд хазуулах хүсэл,шоргоолжны үүрэн дээр өдөржин өнжих хүсэл,
"""Зарим амьтны биеийг бүрхэн тогтсон хатуу хэсэг""-ийг юу гэж нэрлэх вэ?",https://ibb.co/rR6Y2rFR,хайрс,5,Монгол хэл,арьс,хальс,яс,
"""...шоргоолж нэг ёсондоо байгалийн бүтээсэн амьд хөшүүрэг юм байна."" хэсэгт ямар дүрслэл байна вэ?",https://ibb.co/rR6Y2rFR,зүйрлэл,5,Монгол хэл,амьдчилал,багасгал,ихэсгэл,
"“Чинбаяр өдрийн турш ажиглав”, “Шинэ бүтээлээ хийж турш.” гэсэн өгүүлбэрүүдийн тодруулсан үгс ямар утгатай вэ?",https://ibb.co/rR6Y2rFR,салаа утгатай үг,5,Монгол хэл,далд утгатай үг,ойролцоо утгатай үг,эсрэг утгатай үг,
"""Чинбаяр туршилт хийсэн ....... шинжлэх ухааны нээлт хийсэн."" цэгийн оронд тохирох холбох үгийг сонгоно уу.",https://ibb.co/rR6Y2rFR,учраас,5,Монгол хэл,өөрөөр хэлбэл,өмнө нь,харин,
Эхийн санааг зөв дараалалд оруулсныг сонгоорой.,https://ibb.co/rR6Y2rFR,"Туршилт хийсэн нь, Машин бүтээсэн нь, Тэмцээнд оролцсон нь",5,Монгол хэл,"Машин бүтээсэн нь, Тэмцээнд оролцсон нь, Туршилт хийсэн нь","Туршилт хийсэн нь, Тэмцээнд оролцсон нь, Машин бүтээсэн нь","Шинэ машин, Шинэ нээлт, Дүүгийн тоглоом",
Чинбаяр гараа шоргоолжинд хазуулахад часхийтэл өвдсөний учрыг олно уу.,https://ibb.co/rR6Y2rFR,хойд хэсэг нь өргөх хүчийг нэмэгдүүлэг учраас,5,Монгол хэл,өөрөөсөө 10 дахин хүчтэй учраас,хатуу хайрсан биетэй учраас,хэд хэдэн удаа хазуулсан учраас,
Чинбаяр шинжлэх ухаанд ямар нээлт хийсэн бэ?,https://ibb.co/rR6Y2rFR,шоргоолжны хойд хэсэгт хүч байдгийг мэдсэн,5,Монгол хэл,хүүхэлдэй харж угсрах арга мэдсэн,шоргоолжинд гараа хэд хэдэн удаа хазуулах арга мэдсэн,шоргоолжны бүх бие нь хатуу хайрс гэдгийг мэдсэн,
Баруун урд зовхисын хойд зүгтэй үүсгэх өнцгийг ол.,,225,9,Математик,135,180,270,Геометр
Зүүн хойд зовхисын хойд зүгтэй үүсгэх өнцгийг ол.,,045,9,Математик,090,315,360,Геометр
A(3; 6); B(7; 9) бол AB хэрчмийн уртыг ол.,,5,9,Математик,6,7,8,Геометр
A(2; 5) ба B(5; 9) бол AB хэрчмийн уртыг ол.,,5,9,Математик,10,15,2,Геометр
A(1; 2) ба B(6; 14) бол AB хэрчмийн уртыг ол.,,13,9,Математик,4,6,7,Геометр
A(0; 0) ба B(8; 15) бол AB хэрчмийн уртыг ол.,,17,9,Математик,18,25,45,Геометр
Гүдгэр таван өнцөгтийн дотоод өнцгүүдийн нийлбэрийг ол.,,540,9,Математик,900,720,360,Геометр
Гүдгэр зургаан өнцөгтийн дотоод өнцгүүдийн нийлбэрийг ол.,,720,9,Математик,900,1080,360,Геометр
Гүдгэр олон өнцөгтийн дотоод өнцгүүдийн нийлбэр 1080 градус бол олон өнцөгтийн оройн тоог олоорой.,,8,9,Математик,7,5,6,Геометр
Гүдгэр олон өнцөгтийн дотоод өнцгүүдийн нийлбэр 900 градус бол олон өнцөгтийн оройн тоог олоорой.,,7,9,Математик,5,8,6,Геометр
"Тэгш өнцөгт гурвалжны нэг катет 15 см, гипотенуз 25 см бол нөгөө катетыг ол.",,20,9,Математик,15,22,24,Геометр
Тойрог хичнээн тэгш хэмийн тэнхлэгтэй вэ?,,Хязгааргүй олон,9,Математик,30,360,100,Геометр
"Тэгш өнцөгт гурвалжны нэг катет 9 см, гипотенуз 15 см бол нөгөө катетыг ол.",,12,9,Математик,13,9,24,Геометр
"Тэгш өнцөгт гурвалжны нэг катет 8 см, гипотенуз 17 см бол нөгөө катетыг ол.",,15,9,Математик,25,40,17,Геометр
"Тэгш өнцөгт гурвалжны нэг катет 7 см, гипотенуз 25 см бол нөгөө катетыг ол.",,24,9,Математик,49,625,25,Геометр
"Тэгш өнцөгт гурвалжны нэг катет 20 см, гипотенуз 29 см бол нөгөө катетыг ол.",,21,9,Математик,20,441,169,Геометр
"Тэгш өнцөгт гурвалжны нэг катет 12 см, гипотенуз 13 см бол нөгөө катетыг ол.",,5,9,Математик,10,15,20,Геометр
Гурвалжны хоёр оройн гадаад өнцгийн нийлбэр 251⁰ бол гурав дахь дотоод өнцгийн хэмжээ аль вэ?,,71,9,Математик,109,54,72,Геометр
Өгсөн өнцөгтэй хамар хоёр өнцгийн нийлбэр нь 204⁰ бол өгсөн өнцгийн хэмжээ аль вэ?,,78,9,Математик,92,58,112,Геометр
Гурвалжны тэнцүү хоёр дотоод өнцгийн нийлбэр нь гурав дахь өнцгөөс 20°-аар их бол их өнцгийг ол.,,80,9,Математик,100,90,70,Геометр
 Шоо хаяхад нийт хэдэн эгэл үзэгдэл үүсэх вэ?,,6,9,Математик,3,4,5,Магадлал
 Шоо хаях үзэгдлийн огторгуйн чадал хэд вэ?,,6,9,Математик,3,4,5,Магадлал
"Шагай орхиход морь, тэмээ, хонь, ямаа гэсэн дүрсүүд буудаг гэвэл 2 шагайг орхиход нийт хэдэн эгэл үзэгдэл илрэх боломжтой вэ?",,16,9,Математик,12,8,4,Магадлал
"Шагай орхиход морь, тэмээ, хонь, ямаа гэсэн дүрсүүд буудаг гэвэл 2 шагай орхих туршилтад илрэх эгэл үзэгдлүүдийн олонлогийн чадал хэд вэ?",,16,9,Математик,12,8,4,Магадлал
"Зоосон мөнгө, шоог зэрэг орхих туршилтад илрэх эгэл үзэгдлүүдийн олонлогийн чадал хэд вэ?",,12,9,Математик,8,4,6,Магадлал
Шоо орхиход 2 буух магадлал хэд вэ?,,1/6,9,Математик,1/3,1/2,1,Магадлал
Шоо хаяхад 1 буух магадлал хэд вэ?,,1/6,9,Математик,1/3,1/2,1,Магадлал
Хоёр шоо орхиход буусан нүднүүдийн нийлбэр 6 байх магадлалыг ол.,,5/36,9,Математик,1/6,7/36,1/12,Магадлал
Хоёр шоо хаяхад буусан нүднүүдийн нийлбэр 7 байх магадлалыг ол.,,1/6,9,Математик,5/12,7/36,1/12,Магадлал
0-ээс 9 хүртэлх 10 цифрээс санамсаргүй нэгийг сонгоход тэгш цифр сонгогдсон байх магадлалыг ол.,,0.5,9,Математик,0.1,0.2,0.6,Магадлал
0-ээс 9 хүртэлх 10 цифрээс санамсаргүй нэг цифр сонгов. Сондгой цифр сонгогдсон байх магадлалыг ол.,,0.5,9,Математик,0.1,0.2,0.6,Магадлал
Тэгш цифрүүдээр бичигдэх 3-н оронтой натурал тоо хэд байгаа вэ?,,100,9,Математик,125,450,900,Магадлал
Сондгой цифрүүдээр бичигдэх 3-н оронтой натурал тоо хэд байгаа вэ?,,125,9,Математик,100,450,900,Магадлал
Мохоо өнцөгт гурвалжны 3 өнцгөөс санамсаргүйгээр нэг өнцөг сонгов. Хурц өнцөг сонгогдсон байх магадлалыг ол.,,2/3,9,Математик,1/3,1,1/6,Магадлал
1-ээс 100 хүртэлх натурал тоонуудаас нэг тоо санамсаргүйгээр сонгов. 3-т хуваагддаг тоо сонгогдох магадлалыг ол.,,33/100,9,Математик,1/3,17/50,2/3,Магадлал
1-ээс 100 хүртэлх натурал тоонуудаас санамсаргүйгээр нэг тоо сонгов. 3-т хуваахад 2 үлддэг тоо сонгогдсон байх магадлалыг ол.,,34/100,9,Математик,33/100,17/50,1/3,Магадлал
"Буудлагын хоёр тамирчин бай буудав. I тамирчин байг онох магадлал 0.6, II тамирчин байг онох магадлал 0.7 бол хоёулаа байг онох магадлалыг ол.",,0.42,9,Математик,0.13,0,0.12,Магадлал
