task,link,зөв хариулт,Аль анги вэ?,Хичээл,Буруу хариулт 1,Буруу хариулт 2,Буруу хариулт 3,TEXT
Хөшүүргийн мөрийг 2 см-ээр ихэсгэвэл дарах хүч хэрхэн өөрчлөгдөх вэ?,,2-оор багасна,5,хүн байгаль,2 дахин ихсэнэ,2 дахин багасна,2-оор ихэснэ,
Ачааны тоог өөрчлөхгүйгээр зурагт өгөгдсөн хөшүүргийг тэнцвэрт оруулах боломжтой юу?,,"болно, баруун талын
 ачааг 1-ээр баруун тийш",5,хүн байгаль,"болно, зүүн талын ачааг
 1-ээр зүүн тийш","болно, зүүн талын 1 ачааг
 баруун талын ачаан 
дээр нэмж өлгөх",болохгүй.,
"Газрын зураг ашиглаад Монгол улс дэлхийн аль хагаст байрлаж байгааг
 тодорхойлно уу.",https://ibb.co/wrrbPLcF,"зүүн, хойд хагас",5,хүн байгаль,"баруун, өмнөд хагас","баруун, хойд хагас","зүүн, өмнөд хагас",
"Газрын зураг ашиглаад дэлхийн баруун, хойд болон өмнөд хагаст байрлах
 тивийн нэрийг сонгоно уу.",https://ibb.co/wrrbPLcF,Америк,5,хүн байгаль,Австрали,Ази,Африк,
"Шонгийн сүүдрийг ажиглаад өдрийн аль үе болж байгааг тогтоож 
зөв хариултыг сонгоорой.",https://ibb.co/4nnvp9Jt,өглөө,5,хүн байгаль,өдөр,орой,үдэш,
"Дэлхийн газрын зургийг сайтар ажиглаарай. Монгол улс Ази тивд оршдогийг 
бид мэднэ.Тэгвэл Монгол улс дэлхийн бөмбөрцгийн аль хагаст оршиж байна вэ?",https://ibb.co/Gv9fYPpd,зүүн хойд хагаст,5,хүн байгаль,баруун хойд хагаст,баруун өмнөд хагаст,зүүн өмнөд хагаст,
АНУ дэлхийн аль хэсэгт оршдог вэ?,https://ibb.co/xt4DRtMB,баруун хойд хагаст,5,хүн байгаль,зүүн хойд хагаст,баруун өмнөд хагаст,"зүүн хойд, өмнөд",
Сар хэрхэн гэрэлтэж харагддаг вэ?,, нарны гэрэл туссанаар,5,хүн байгаль,оддын гэрэл туссанаар,сар өөрөө гэрэлтдэг,зөв хариу алга,
Нартай адил өөрөөсөө гэрэл цацаргадаг галт бөмбөлгийг юу гэж нэрлэдэг вэ?,,од,5,хүн байгаль,дэлхий,Нар,Сар,
Хэзээ хамгийн богино сүүдэр үүсдэг вэ?,,үд дунд,5,хүн байгаль,орой нар жаргахад,өглөө нар жаргахад,үдэш,
"Сарны харагдах байдлын зургийг ажиглаад өгөгдсөн дарааллаар байрлах 
зөв зургийг сонгоорой. (дэлхий-сар-нар)",,https://ibb.co/x8DzQMXx,5,хүн байгаль,https://ibb.co/jkv7BJXB,https://ibb.co/k2Sbq6ZF,https://ibb.co/v6fPJhHv,
3200C хүртэлх температуртай од ямар өнгөтэй харагдах вэ?,,Улаан,5,хүн байгаль,шар,цагаан,цэнхэр,
3200C хүртэлх температуртай од ямар өнгөтэй харагдах вэ?,https://ibb.co/4RB1BVvT,"биеийн шугаман 
хэмжээ өөр",5,хүн байгаль,гэрэл туссан өнцөг ижил,гэрэл туссан өнцөг ижил,гэрэл туссан өнцөг ижил,
Алтан гадас одыг харуулсан зургийн дугаарыг дугуйлна уу.,https://ibb.co/MkLHyRsW,3,5,хүн байгаль,1,2,4,
Дараах дүгнэлтүүдийн зөвийг дугуйлаарай.,,"Дэлхий тэнхлэгээ 
баруунаас зүүн рүү 24 цагт 
нэг бүтэн эргэхэд нэг хоног 
болно.",5,хүн байгаль,"Дэлхий тэнхлэгээ 
зүүнээс баруун руу 
24 цагт нэг бүтэн
 эргэхэд нэг хоног болно.","Дэлхий тэнхлэгээ 
нэг бүтэн эргэхэд 
нэг хоног болно.","Дэлхий тэнхлэгээ
 24 цаг эргэхэд
 нэг хоног болно.",
"Сарны харагдах байдлын зургийг ажиглаад нар, сар, дэлхийн байрлах зөв
 зургийг сонгоорой.",https://ibb.co/ynxJdTnM,https://ibb.co/tTGVNV5s,5,хүн байгаль,https://ibb.co/TDsQW6Tg,https://ibb.co/zV2zxbZw,https://ibb.co/2RzwPwm,
Сарны байрлал яагаад өөрчлөгдсөн бэ?,https://ibb.co/wNJJBPVP,"Дэлхий тэнхлэгээ 
эргэдэгтэй холбоотой.",5,хүн байгаль,"Дэлхий тэнхлэгээ 
эргэдэгтэй холбоотой.","Дэлхий тэнхлэгээ 
эргэдэгтэй холбоотой.","Дэлхий тэнхлэгээ 
эргэдэгтэй холбоотой.",
Сарны хэлбэр яагаад өөрчлөгддөг вэ?,,"Дэлхий тэнхлэгээ
 эргэдэгтэй холбоотой.",5,хүн байгаль,"Сар дэлхийг тойрдогтой 
холбоотой.","Дэлхий нарыг
 тойрдогтой холбоотой.","Сар нарыг
 тойрдогтой холбоотой.",
"Цэгийн оронд тохирох үгийг сонгоорой. Дэлхийн гадарга дээр оршиж 
байгаа тухайн цэгийн голдож ба зэргэдийг газарзүйн ..................... гэж нэрлэнэ.",,солбилцол,5,хүн байгаль,огтлолцол,байршил,масштаб,
Асуултын тэмдгийн оронд тохирох үгийг сонгоно уу.,https://ibb.co/7NZYgDLW,өмнөд туйл,5,хүн байгаль,голдож,зэргэд,хойд туйл,
